Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,File,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.5,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.5  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,File,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.5,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,File,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.5,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,File,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.5,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,File,Altairis.AskMe.Data\Altairis.AskMe.Data.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.5,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 9.0.5  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.5,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.5  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.5"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,,,Microsoft.VisualStudio.Web.BrowserLink 2.2.0,,,,,"Microsoft.VisualStudio.Web.BrowserLink, 2.2.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,,,Microsoft.VisualStudio.Web.BrowserLink 2.2.0,,,,,"Microsoft.VisualStudio.Web.BrowserLink, 2.2.0  Recommendation:  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.VisualStudio.Web.BrowserLink, and replace with new package Microsoft.VisualStudio.Web.BrowserLink, 2.2.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Altairis.AskMe.Web.Mvc\Altairis.AskMe.Web.Mvc.csproj,File,Altairis.AskMe.Web.Mvc\Controllers\SyndicationController.cs,28,12,T:System.Uri,,,,,await writer.Write(new SyndicationLink(new Uri(homepageUrl)));
